연번,시도,"검체채취 가능여부",시군구,의료기관명,주소,"대표 전화번호"
281,N,경기,의정부시,의정부시보건소,"의정부시 범골로 131","031-870-6011~4"
282,Y,경기,의정부시,"가톨릭대학교 의정부성모병원","의정부시 천보로 271","1661-7500"
283,Y,경기,의정부시,추병원,"의정부시 평화로 650","031-823-8063"
284,Y,경기,의정부시,의정부백병원,"경기도 의정부시 금신로  322","031-842-1211"
285,Y,경기,이천시,"경기도의료원 이천병원","경기도 이천시 경충대로 2742 (관고동)","031-630-4200"
286,Y,경기,이천시,이천시보건소,"경기도 이천시 증신로153번길 13 (증포동)","031-635-2400"
287,Y,경기,파주시,파주시보건소,"경기도 파주시 후곡로 13 (금촌동)","031-940-4800"
288,Y,경기,파주시,"경기도의료원 파주병원","경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)","031-940-9100"
289,Y,경기,평택시,"의료법인 백송의료재단 굿모닝병원","경기도 평택시 중앙로 338 (합정동)","031-5182-7700"
290,Y,경기,평택시,"의료법인 박애의료재단 박애병원","경기도 평택시 평택2로20번길 3 (평택동)","031-652-2121"
291,Y,경기,평택시,"의료법인 양진의료재단 평택성모병원","경기도 평택시 평택로 284 (세교동)","1800-8800"
292,Y,경기,평택시,평택보건소,"경기도 평택시 평택5로 56 (비전동)","031-8024-5559"
293,Y,경기,평택시,"평택시 안중보건지소","경기도 평택시 안중읍 안현로 400","031-8024-8618"
294,Y,경기,평택시,박병원,"경기도 평택시 송탄로 33 (장당동)","031-666-2600"
295,Y,경기,평택시,송탄보건소,"경기도 평택시 서정로 295 (이충동)","031-8024-7273"
296,Y,경기,포천시,포천시보건소,"경기도 포천시 포천로 1612 (신읍동)","031-538-3600"
297,Y,경기,포천시,"경기도의료원 포천병원","경기도 포천시 포천로 1648 (신읍동)","031-539-9114"
298,Y,경기,포천시,소흘보건지소,"경기도 포천시 소흘읍 호국로 567","031-538-4486"
299,Y,경기,포천시,일동보건지소,"경기도 포천시 일동면 화동로 1099번길 30","031-538-4488"
300,Y,경기,하남시,하남시보건소,"경기도 하남시 대청로 10 (신장동)","031-790-6555"
301,Y,경기,화성시,화성중앙종합병원,"경기도 화성시 향남읍 발안로 5","031-371-8080"
302,Y,경기,화성시,화성시보건소,"경기도 화성시 향남읍 3.1만세로 1055","031-5189-1200"
303,Y,경기,화성시,"화성시보건소 동탄보건지소","경기도 화성시 노작로 226-9","031-5189-1200"
304,Y,경기,화성시,동탄성심병원,"경기도 화성시 큰재봉길 7","1522-2500"
305,Y,경기,화성시,원광종합병원,"경기 화성시 화산북로 21 ","031-8077-7219"
306,Y,경기,화성시,남양디에스병원,"경기도 화성시 남양읍 시청로160번길 46-13","031-5180-7777"
